,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 100% sure the answer is: [Y],0.07932446264073695,yes,P103
1,Does [W] speak [X] as a native language? I am 100% sure the answer is: [Y],0.059877175025588536,yes,P103
2,Is [X] [W]'s mother tongue? I am 100% sure the answer is: [Y],0.4851586489252815,yes,P103
3,Is [X] [W]'s native language? I am 100% sure the answer is: [Y],0.2727737973387922,yes,P103
4,Does [W] work for [X]? I am 100% sure the answer is: [Y],0.34595300261096606,yes,P108
5,Is [W] employed by [X]? I am 100% sure the answer is: [Y],0.020887728459530026,yes,P108
6,Did [W] originate from [X]? I am 100% sure the answer is: [Y],0.4947033898305085,yes,P19
7,Does [W] originate from [X]? I am 100% sure the answer is: [Y],0.4952330508474576,yes,P19
8,Is [W] a [X]-born person? I am 100% sure the answer is: [Y],0.288135593220339,yes,P19
9,Is [W] an [X]-born person? I am 100% sure the answer is: [Y],0.2791313559322034,yes,P19
10,Is [W] native to [X]? I am 100% sure the answer is: [Y],0.4925847457627119,yes,P19
11,Is [W] originally from [X]? I am 100% sure the answer is: [Y],0.5,yes,P19
12,Is [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.4994703389830508,yes,P19
13,Is [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.4994703389830508,yes,P19
14,Was [W] a [X]-born person? I am 100% sure the answer is: [Y],0.4179025423728814,yes,P19
15,Was [W] an [X]-born person? I am 100% sure the answer is: [Y],0.4173728813559322,yes,P19
16,Was [W] born in [X]? I am 100% sure the answer is: [Y],0.4830508474576271,yes,P19
17,Was [W] native to [X]? I am 100% sure the answer is: [Y],0.4984110169491525,yes,P19
18,Was [W] originally from [X]? I am 100% sure the answer is: [Y],0.4989406779661017,yes,P19
19,Was [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.4994703389830508,yes,P19
20,Was [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.4989406779661017,yes,P19
21,Did [W] die at [X]? I am 100% sure the answer is: [Y],0.18730325288562436,yes,P20
22,Did [W] die in [X]? I am 100% sure the answer is: [Y],0.2906610703043022,yes,P20
23,Did [W] expire at [X]? I am 100% sure the answer is: [Y],0.1316894018887723,yes,P20
24,Did [W] expire in [X]? I am 100% sure the answer is: [Y],0.1825813221406086,yes,P20
25,Did [W] lose their life at [X]? I am 100% sure the answer is: [Y],0.07450157397691501,yes,P20
26,Did [W] lose their life in [X]? I am 100% sure the answer is: [Y],0.1044071353620147,yes,P20
27,Did [W] pass away at [X]? I am 100% sure the answer is: [Y],0.21720881427072403,yes,P20
28,Did [W] pass away in [X]? I am 100% sure the answer is: [Y],0.2812172088142707,yes,P20
29,Did [W] succumb at [X]? I am 100% sure the answer is: [Y],0.0472193074501574,yes,P20
30,Did [W] succumb in [X]? I am 100% sure the answer is: [Y],0.09601259181532004,yes,P20
31,Did [W]'s life end at [X]? I am 100% sure the answer is: [Y],0.05246589716684155,yes,P20
32,Did [W]'s life end in [X]? I am 100% sure the answer is: [Y],0.10965372507869885,yes,P20
33,Is [X] [W]'s death location? I am 100% sure the answer is: [Y],0.5,yes,P20
34,Is [X] [W]'s death place? I am 100% sure the answer is: [Y],0.4994753410283316,yes,P20
35,Is [X] [W]'s place of death? I am 100% sure the answer is: [Y],0.44018887722980066,yes,P20
36,Was [X] [W]'s death location? I am 100% sure the answer is: [Y],0.4994753410283316,yes,P20
37,Was [X] [W]'s death place? I am 100% sure the answer is: [Y],0.49895068205666315,yes,P20
38,Was [X] [W]'s place of death? I am 100% sure the answer is: [Y],0.4700944386149003,yes,P20
39,Does [W] belong to continent [X]? I am 100% sure the answer is: [Y],0.3364102564102564,yes,P30
40,Does [W] belong to the continent of [X]? I am 100% sure the answer is: [Y],0.2794871794871795,yes,P30
41,Is [W] a part of continent [X]? I am 100% sure the answer is: [Y],0.3364102564102564,yes,P30
42,Is [W] a part of the continent [X]? I am 100% sure the answer is: [Y],0.2651282051282051,yes,P30
43,Is [W] a part of the continent of [X]? I am 100% sure the answer is: [Y],0.37384615384615383,yes,P30
44,Is [W] located in [X]? I am 100% sure the answer is: [Y],0.46974358974358976,yes,P30
45,Is [W] located in continent [X]? I am 100% sure the answer is: [Y],0.46717948717948715,yes,P30
46,Is [W] located in the [X] continent? I am 100% sure the answer is: [Y],0.4841025641025641,yes,P30
47,Is [W] located in the continent [X]? I am 100% sure the answer is: [Y],0.46615384615384614,yes,P30
48,Is [W] part of the [X] continent? I am 100% sure the answer is: [Y],0.41846153846153844,yes,P30
49,Is [X] [W]'s continent? I am 100% sure the answer is: [Y],0.4887179487179487,yes,P30
50,Is [X] the continent of [W]? I am 100% sure the answer is: [Y],0.4764102564102564,yes,P30
51,Did [W] have the [X] position? I am 100% sure the answer is: [Y],0.10594170403587444,yes,P39
52,Did [W] have the [X] role? I am 100% sure the answer is: [Y],0.19282511210762332,yes,P39
53,Did [W] have the official [X] position? I am 100% sure the answer is: [Y],0.07174887892376682,yes,P39
54,Did [W] have the official [X] role? I am 100% sure the answer is: [Y],0.11939461883408072,yes,P39
55,Did [W] have the official position of [X]? I am 100% sure the answer is: [Y],0.04708520179372197,yes,P39
56,Did [W] have the official role of [X]? I am 100% sure the answer is: [Y],0.19394618834080718,yes,P39
57,Did [W] have the position of [X]? I am 100% sure the answer is: [Y],0.3032511210762332,yes,P39
58,Did [W] have the public [X] position? I am 100% sure the answer is: [Y],0.03195067264573991,yes,P39
59,Did [W] have the public [X] role? I am 100% sure the answer is: [Y],0.07230941704035874,yes,P39
60,Did [W] have the public position of [X]? I am 100% sure the answer is: [Y],0.05100896860986547,yes,P39
61,Did [W] have the public role of [X]? I am 100% sure the answer is: [Y],0.1429372197309417,yes,P39
62,Did [W] have the role of [X]? I am 100% sure the answer is: [Y],0.30437219730941706,yes,P39
63,Did [W] hold the [X] position? I am 100% sure the answer is: [Y],0.08576233183856502,yes,P39
64,Did [W] hold the [X] role? I am 100% sure the answer is: [Y],0.08688340807174888,yes,P39
65,Did [W] hold the official [X] position? I am 100% sure the answer is: [Y],0.043161434977578475,yes,P39
66,Did [W] hold the official [X] role? I am 100% sure the answer is: [Y],0.0476457399103139,yes,P39
67,Did [W] hold the official position of [X]? I am 100% sure the answer is: [Y],0.09024663677130045,yes,P39
68,Did [W] hold the official role of [X]? I am 100% sure the answer is: [Y],0.07623318385650224,yes,P39
69,Did [W] hold the position of [X]? I am 100% sure the answer is: [Y],0.16591928251121077,yes,P39
70,Did [W] hold the public [X] position? I am 100% sure the answer is: [Y],0.0257847533632287,yes,P39
71,Did [W] hold the public [X] role? I am 100% sure the answer is: [Y],0.026345291479820628,yes,P39
72,Did [W] hold the public position of [X]? I am 100% sure the answer is: [Y],0.034192825112107625,yes,P39
73,Did [W] hold the public role of [X]? I am 100% sure the answer is: [Y],0.03699551569506727,yes,P39
74,Did [W] hold the role of [X]? I am 100% sure the answer is: [Y],0.19114349775784753,yes,P39
75,Did [W] officially hold the [X] position? I am 100% sure the answer is: [Y],0.11547085201793722,yes,P39
76,Did [W] officially hold the [X] role? I am 100% sure the answer is: [Y],0.14069506726457398,yes,P39
77,Did [W] officially hold the position of [X]? I am 100% sure the answer is: [Y],0.2589686098654709,yes,P39
78,Did [W] officially hold the public [X] position? I am 100% sure the answer is: [Y],0.06894618834080718,yes,P39
79,Did [W] officially hold the public [X] role? I am 100% sure the answer is: [Y],0.07847533632286996,yes,P39
80,Did [W] officially hold the public position of [X]? I am 100% sure the answer is: [Y],0.12387892376681614,yes,P39
81,Did [W] officially hold the public role of [X]? I am 100% sure the answer is: [Y],0.13396860986547085,yes,P39
82,Did [W] officially hold the role of [X]? I am 100% sure the answer is: [Y],0.2303811659192825,yes,P39
83,Does [W] have the [X] position? I am 100% sure the answer is: [Y],0.062219730941704035,yes,P39
84,Does [W] have the [X] role? I am 100% sure the answer is: [Y],0.09248878923766816,yes,P39
85,Does [W] have the official [X] position? I am 100% sure the answer is: [Y],0.024103139013452915,yes,P39
